Latitude,Longitude,Comment,Depth,G&G-DO
1134.73264N,12229.35746E,1,0.581,5.705
1134.73264N,12229.35746E,1,0.583,5.707
1134.73264N,12229.35746E,1,0.582,5.703
1134.73264N,12229.35746E,1,0.585,5.706
1134.73264N,12229.35746E,1,0.588,5.707
1134.73264N,12229.35746E,1,0.589,5.707
1134.73264N,12229.35746E,1,0.594,5.71
1134.73264N,12229.35746E,1,0.597,5.709
1134.73264N,12229.35746E,1,0.6,5.707
1134.73264N,12229.35746E,1,0.603,5.704
1134.73264N,12229.35746E,1,0.603,5.709
1134.73264N,12229.35746E,1,0.606,5.718
1134.73264N,12229.35746E,1,0.608,5.721
1134.73264N,12229.35746E,1,0.61,5.72
1134.73264N,12229.35746E,1,0.613,5.72
1134.73264N,12229.35746E,1,0.614,5.719
1134.73264N,12229.35746E,1,0.615,5.721
1134.73264N,12229.35746E,1,0.617,5.723
1134.73264N,12229.35746E,1,0.62,5.724
1134.73264N,12229.35746E,1,0.626,5.726
1134.73264N,12229.35746E,1,0.629,5.726
1134.73264N,12229.35746E,1,0.632,5.725
1134.73264N,12229.35746E,1,0.634,5.725
1134.73264N,12229.35746E,1,0.633,5.731
1134.73264N,12229.35746E,1,0.633,5.734
1134.73264N,12229.35746E,1,0.632,5.735
1134.73264N,12229.35746E,1,0.632,5.732
1134.73264N,12229.35746E,1,0.635,5.736
1134.73264N,12229.35746E,1,0.64,5.737
1134.73264N,12229.35746E,1,0.64,5.737
1134.73264N,12229.35746E,1,0.646,5.732
1134.73264N,12229.35746E,1,0.655,5.724
1134.73264N,12229.35746E,1,0.664,5.722
1134.73264N,12229.35746E,1,0.674,5.724
1134.73264N,12229.35746E,1,0.68,5.727
1134.73264N,12229.35746E,1,0.684,5.725
1134.73264N,12229.35746E,1,0.686,5.728
1134.73264N,12229.35746E,1,0.687,5.729
1134.73264N,12229.35746E,1,0.685,5.737
1134.73264N,12229.35746E,1,0.685,5.736
1134.73264N,12229.35746E,1,0.687,5.737
1134.73264N,12229.35746E,1,0.688,5.741
1134.73264N,12229.35746E,1,0.691,5.739
1134.73264N,12229.35746E,1,0.694,5.737
1134.73264N,12229.35746E,1,0.701,5.742
1134.73264N,12229.35746E,1,0.705,5.741
1134.73264N,12229.35746E,1,0.707,5.745
1134.73264N,12229.35746E,1,0.708,5.746
1134.73264N,12229.35746E,1,0.709,5.749
1134.73264N,12229.35746E,1,0.709,5.749
1134.73264N,12229.35746E,1,0.711,5.748
1134.73264N,12229.35746E,1,0.712,5.748
1134.73264N,12229.35746E,1,0.715,5.756
1134.73264N,12229.35746E,1,0.719,5.754
1134.73264N,12229.35746E,1,0.723,5.758
1134.73264N,12229.35746E,1,0.726,5.759
1134.73264N,12229.35746E,1,0.729,5.758
1134.73264N,12229.35746E,1,0.73,5.761
1134.73264N,12229.35746E,1,0.736,5.767
1134.73264N,12229.35746E,1,0.74,5.763
1134.73264N,12229.35746E,1,0.743,5.766
1134.73264N,12229.35746E,1,0.746,5.768
1134.73264N,12229.35746E,1,0.745,5.764
1134.73264N,12229.35746E,1,0.746,5.767
1134.73264N,12229.35746E,1,0.746,5.766
1134.73264N,12229.35746E,1,0.744,5.768
1134.73264N,12229.35746E,1,0.744,5.767
1134.73264N,12229.35746E,1,0.745,5.766
1134.73264N,12229.35746E,1,0.746,5.768
1134.73264N,12229.35746E,1,0.751,5.771
1134.73264N,12229.35746E,1,0.753,5.77
1134.73264N,12229.35746E,1,0.756,5.77
1134.73264N,12229.35746E,1,0.759,5.771
1134.73264N,12229.35746E,1,0.762,5.771
1134.73264N,12229.35746E,1,0.766,5.771
1134.73264N,12229.35746E,1,0.771,5.772
1134.73264N,12229.35746E,1,0.773,5.773
1134.73264N,12229.35746E,1,0.776,5.776
1134.73264N,12229.35746E,1,0.777,5.777
1134.73264N,12229.35746E,1,0.779,5.778
1134.73264N,12229.35746E,1,0.78,5.778
1134.73264N,12229.35746E,1,0.78,5.78
1134.73264N,12229.35746E,1,0.783,5.78
1134.73264N,12229.35746E,1,0.787,5.785
1134.73264N,12229.35746E,1,0.792,5.789
1134.73264N,12229.35746E,1,0.798,5.788
1134.73264N,12229.35746E,1,0.804,5.788
1134.73264N,12229.35746E,1,0.812,5.787
1134.73264N,12229.35746E,1,0.812,5.787
1134.73264N,12229.35746E,1,0.818,5.789
1134.73264N,12229.35746E,1,0.821,5.787
1134.73264N,12229.35746E,1,0.826,5.788
1134.73264N,12229.35746E,1,0.827,5.788
1134.73264N,12229.35746E,1,0.828,5.793
1134.73264N,12229.35746E,1,0.833,5.794
1134.73264N,12229.35746E,1,0.835,5.79
1134.73264N,12229.35746E,1,0.836,5.792
1134.73264N,12229.35746E,1,0.841,5.797
1134.73264N,12229.35746E,1,0.843,5.795
1134.73264N,12229.35746E,1,0.844,5.798
1134.73264N,12229.35746E,1,0.846,5.797
1134.73264N,12229.35746E,1,0.847,5.797
1134.73264N,12229.35746E,1,0.849,5.799
1134.73264N,12229.35746E,1,0.85,5.8
1134.73264N,12229.35746E,1,0.851,5.806
1134.73264N,12229.35746E,1,0.854,5.807
1134.73264N,12229.35746E,1,0.855,5.801
1134.73264N,12229.35746E,1,0.857,5.808
1134.73264N,12229.35746E,1,0.859,5.805
1134.73264N,12229.35746E,1,0.859,5.806
1134.73264N,12229.35746E,1,0.86,5.808
1134.73264N,12229.35746E,1,0.861,5.803
1134.73264N,12229.35746E,1,0.86,5.808
1134.73264N,12229.35746E,1,0.861,5.812
1134.73264N,12229.35746E,1,0.861,5.812
1134.73264N,12229.35746E,1,0.863,5.819
1134.73264N,12229.35746E,1,0.866,5.819
1134.73264N,12229.35746E,1,0.869,5.818
1134.73264N,12229.35746E,1,0.872,5.82
1134.73264N,12229.35746E,1,0.876,5.815
1134.73264N,12229.35746E,1,0.878,5.812
1134.73264N,12229.35746E,1,0.884,5.813
1134.73264N,12229.35746E,1,0.891,5.809
1134.73264N,12229.35746E,1,0.898,5.811
1134.73264N,12229.35746E,1,0.905,5.808
1134.73264N,12229.35746E,1,0.912,5.802
1134.73264N,12229.35746E,1,0.918,5.81
1134.73264N,12229.35746E,1,0.925,5.809
1134.73264N,12229.35746E,1,0.928,5.814
1134.73264N,12229.35746E,1,0.934,5.813
1134.73264N,12229.35746E,1,0.94,5.812
1134.73264N,12229.35746E,1,0.945,5.802
1134.73264N,12229.35746E,1,0.95,5.8
1134.73264N,12229.35746E,1,0.952,5.806
1134.73264N,12229.35746E,1,0.953,5.814
1134.73264N,12229.35746E,1,0.953,5.82
1134.73264N,12229.35746E,1,0.953,5.825
1134.73264N,12229.35746E,1,0.953,5.831
1134.73264N,12229.35746E,1,0.953,5.838
1134.73264N,12229.35746E,1,0.953,5.844
1134.73264N,12229.35746E,1,0.956,5.846
1134.73264N,12229.35746E,1,0.959,5.847
1134.73264N,12229.35746E,1,0.964,5.845
1134.73264N,12229.35746E,1,0.971,5.84
1134.73264N,12229.35746E,1,0.975,5.835
1134.73264N,12229.35746E,1,0.982,5.836
1134.73264N,12229.35746E,1,0.985,5.838
1134.73264N,12229.35746E,1,0.985,5.841
1134.73264N,12229.35746E,1,0.985,5.841
1134.73264N,12229.35746E,1,0.987,5.843
1134.73264N,12229.35746E,1,0.984,5.845
1134.73264N,12229.35746E,1,0.984,5.848
1134.73264N,12229.35746E,1,0.986,5.856
1134.73264N,12229.35746E,1,0.989,5.861
1134.73264N,12229.35746E,1,0.994,5.858
1134.73264N,12229.35746E,1,0.999,5.853
1134.73264N,12229.35746E,1,1.005,5.852
1134.73264N,12229.35746E,1,1.013,5.857
1134.73264N,12229.35746E,1,1.02,5.861
1134.73264N,12229.35746E,1,1.028,5.864
1134.73264N,12229.35746E,1,1.04,5.866
1134.73264N,12229.35746E,1,1.05,5.866
1134.73264N,12229.35746E,1,1.058,5.869
1134.73264N,12229.35746E,1,1.062,5.872
1134.73264N,12229.35746E,1,1.06,5.879
1134.73264N,12229.35746E,1,1.06,5.879
1134.73264N,12229.35746E,1,1.058,5.882
1134.73264N,12229.35746E,1,1.056,5.89
1134.73264N,12229.35746E,1,1.056,5.894
1134.73264N,12229.35746E,1,1.055,5.895
1134.73264N,12229.35746E,1,1.056,5.903
1134.73264N,12229.35746E,1,1.058,5.903
1134.73264N,12229.35746E,1,1.058,5.907
1134.73264N,12229.35746E,1,1.059,5.905
1134.73264N,12229.35746E,1,1.062,5.903
1134.73264N,12229.35746E,1,1.064,5.91
1134.73264N,12229.35746E,1,1.064,5.913
1134.73264N,12229.35746E,1,1.065,5.91
1134.73264N,12229.35746E,1,1.067,5.91
1134.73264N,12229.35746E,1,1.068,5.91
1134.73264N,12229.35746E,1,1.069,5.911
1134.73264N,12229.35746E,1,1.072,5.914
1134.73264N,12229.35746E,1,1.074,5.916
1134.73264N,12229.35746E,1,1.074,5.919
1134.73264N,12229.35746E,1,1.075,5.919
1134.73264N,12229.35746E,1,1.076,5.917
1134.73264N,12229.35746E,1,1.077,5.921
1134.73264N,12229.35746E,1,1.076,5.923
1134.73264N,12229.35746E,1,1.078,5.926
1134.73264N,12229.35746E,1,1.081,5.93
