Latitude,Longitude,Comment,G&G-DO
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.706
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.706
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.717
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.718
1134.73264,12229.35746,1,5.72
1134.73264,12229.35746,1,5.72
1134.73264,12229.35746,1,5.719
1134.73264,12229.35746,1,5.718
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.717
1134.73264,12229.35746,1,5.715
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.717
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.715
1134.73264,12229.35746,1,5.721
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.716
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.706
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.718
1134.73264,12229.35746,1,5.721
1134.73264,12229.35746,1,5.72
1134.73264,12229.35746,1,5.72
1134.73264,12229.35746,1,5.719
1134.73264,12229.35746,1,5.721
1134.73264,12229.35746,1,5.723
1134.73264,12229.35746,1,5.724
1134.73264,12229.35746,1,5.726
1134.73264,12229.35746,1,5.726
1134.73264,12229.35746,1,5.725
1134.73264,12229.35746,1,5.725
1134.73264,12229.35746,1,5.731
1134.73264,12229.35746,1,5.734
1134.73264,12229.35746,1,5.735
1134.73264,12229.35746,1,5.732
1134.73264,12229.35746,1,5.736
1134.73264,12229.35746,1,5.737
1134.73264,12229.35746,1,5.737
1134.73264,12229.35746,1,5.732
1134.73264,12229.35746,1,5.724
1134.73264,12229.35746,1,5.722
1134.73264,12229.35746,1,5.724
1134.73264,12229.35746,1,5.727
