Latitude,Longitude,Comment,Temp. [degC],Depth [m]
1134.73264,12229.35746,1,30.476,0.928
1134.73264,12229.35746,1,30.476,0.934
1134.73264,12229.35746,1,30.488,0.94
1134.73264,12229.35746,1,30.499,0.945
1134.73264,12229.35746,1,30.492,0.95
1134.73264,12229.35746,1,30.485,0.952
1134.73264,12229.35746,1,30.482,0.953
1134.73264,12229.35746,1,30.48,0.953
1134.73264,12229.35746,1,30.487,0.953
1134.73264,12229.35746,1,30.511,0.953
1134.73264,12229.35746,1,30.544,0.953
1134.73264,12229.35746,1,30.576,0.953
1134.73264,12229.35746,1,30.594,0.956
1134.73264,12229.35746,1,30.589,0.959
1134.73264,12229.35746,1,30.577,0.964
1134.73264,12229.35746,1,30.588,0.971
1134.73264,12229.35746,1,30.597,0.975
1134.73264,12229.35746,1,30.601,0.982
1134.73264,12229.35746,1,30.629,0.985
1134.73264,12229.35746,1,30.646,0.985
1134.73264,12229.35746,1,30.646,0.985
1134.73264,12229.35746,1,30.651,0.987
1134.73264,12229.35746,1,30.683,0.984
1134.73264,12229.35746,1,30.706,0.984
1134.73264,12229.35746,1,30.719,0.986
1134.73264,12229.35746,1,30.726,0.989
1134.73264,12229.35746,1,30.717,0.994
1134.73264,12229.35746,1,30.712,0.999
1134.73264,12229.35746,1,30.747,1.005
1134.73264,12229.35746,1,30.779,1.013
1134.73264,12229.35746,1,30.794,1.02
1134.73264,12229.35746,1,30.805,1.028
1134.73264,12229.35746,1,30.813,1.04
1134.73264,12229.35746,1,30.816,1.05
1134.73264,12229.35746,1,30.825,1.058
1134.73264,12229.35746,1,30.846,1.062
1134.73264,12229.35746,1,30.86,1.06
1134.73264,12229.35746,1,30.867,1.06
1134.73264,12229.35746,1,30.868,1.058
1134.73264,12229.35746,1,30.871,1.056
1134.73264,12229.35746,1,30.877,1.056
1134.73264,12229.35746,1,30.883,1.055
1134.73264,12229.35746,1,30.886,1.056
1134.73264,12229.35746,1,30.884,1.058
1134.73264,12229.35746,1,30.881,1.058
1134.73264,12229.35746,1,30.879,1.059
1134.73264,12229.35746,1,30.878,1.062
1134.73264,12229.35746,1,30.879,1.064
