Latitude,Longitude,Comment,G&G-DO,Depth [m]
1134.73264,12229.35746,1,5.815,0.876
1134.73264,12229.35746,1,5.812,0.878
1134.73264,12229.35746,1,5.813,0.884
1134.73264,12229.35746,1,5.809,0.891
1134.73264,12229.35746,1,5.811,0.898
1134.73264,12229.35746,1,5.808,0.905
1134.73264,12229.35746,1,5.802,0.912
1134.73264,12229.35746,1,5.81,0.918
1134.73264,12229.35746,1,5.809,0.925
1134.73264,12229.35746,1,5.814,0.928
1134.73264,12229.35746,1,5.813,0.934
1134.73264,12229.35746,1,5.812,0.94
1134.73264,12229.35746,1,5.802,0.945
1134.73264,12229.35746,1,5.8,0.95
1134.73264,12229.35746,1,5.806,0.952
1134.73264,12229.35746,1,5.814,0.953
1134.73264,12229.35746,1,5.82,0.953
1134.73264,12229.35746,1,5.825,0.953
1134.73264,12229.35746,1,5.831,0.953
1134.73264,12229.35746,1,5.838,0.953
1134.73264,12229.35746,1,5.844,0.953
1134.73264,12229.35746,1,5.846,0.956
1134.73264,12229.35746,1,5.847,0.959
1134.73264,12229.35746,1,5.845,0.964
1134.73264,12229.35746,1,5.84,0.971
1134.73264,12229.35746,1,5.835,0.975
1134.73264,12229.35746,1,5.836,0.982
1134.73264,12229.35746,1,5.838,0.985
1134.73264,12229.35746,1,5.841,0.985
1134.73264,12229.35746,1,5.841,0.985
1134.73264,12229.35746,1,5.843,0.987
1134.73264,12229.35746,1,5.845,0.984
1134.73264,12229.35746,1,5.848,0.984
1134.73264,12229.35746,1,5.856,0.986
1134.73264,12229.35746,1,5.861,0.989
1134.73264,12229.35746,1,5.858,0.994
1134.73264,12229.35746,1,5.853,0.999
1134.73264,12229.35746,1,5.852,1.005
1134.73264,12229.35746,1,5.857,1.013
1134.73264,12229.35746,1,5.861,1.02
1134.73264,12229.35746,1,5.864,1.028
1134.73264,12229.35746,1,5.866,1.04
1134.73264,12229.35746,1,5.866,1.05
1134.73264,12229.35746,1,5.869,1.058
1134.73264,12229.35746,1,5.872,1.062
1134.73264,12229.35746,1,5.879,1.06
1134.73264,12229.35746,1,5.879,1.06
1134.73264,12229.35746,1,5.882,1.058
1134.73264,12229.35746,1,5.89,1.056
1134.73264,12229.35746,1,5.894,1.056
1134.73264,12229.35746,1,5.895,1.055
1134.73264,12229.35746,1,5.903,1.056
1134.73264,12229.35746,1,5.903,1.058
1134.73264,12229.35746,1,5.907,1.058
1134.73264,12229.35746,1,5.905,1.059
1134.73264,12229.35746,1,5.903,1.062
1134.73264,12229.35746,1,5.91,1.064
1134.73264,12229.35746,1,5.913,1.064
1134.73264,12229.35746,1,5.91,1.065
1134.73264,12229.35746,1,5.91,1.067
1134.73264,12229.35746,1,5.91,1.068
1134.73264,12229.35746,1,5.911,1.069
1134.73264,12229.35746,1,5.914,1.072
1134.73264,12229.35746,1,5.916,1.074
1134.73264,12229.35746,1,5.919,1.074
1134.73264,12229.35746,1,5.919,1.075
1134.73264,12229.35746,1,5.917,1.076
1134.73264,12229.35746,1,5.921,1.077
1134.73264,12229.35746,1,5.923,1.076
1134.73264,12229.35746,1,5.926,1.078
1134.73264,12229.35746,1,5.93,1.081
1134.73264,12229.35746,1,5.926,1.084
1134.73264,12229.35746,1,5.937,1.086
1134.73264,12229.35746,1,5.94,1.09
1134.73264,12229.35746,1,5.944,1.09
1134.73264,12229.35746,1,5.947,1.092
1134.73264,12229.35746,1,5.945,1.092
1134.73264,12229.35746,1,5.952,1.095
1134.73264,12229.35746,1,5.958,1.099
1134.73264,12229.35746,1,5.957,1.104
1134.73264,12229.35746,1,5.96,1.109
1134.73264,12229.35746,1,5.957,1.113
1134.73264,12229.35746,1,5.958,1.118
1134.73264,12229.35746,1,5.955,1.121
1134.73264,12229.35746,1,5.961,1.123
1134.73264,12229.35746,1,5.964,1.123
1134.73264,12229.35746,1,5.963,1.125
1134.73264,12229.35746,1,5.962,1.127
1134.73264,12229.35746,1,5.962,1.127
1134.73264,12229.35746,1,5.964,1.13
1134.73264,12229.35746,1,5.96,1.135
1134.73264,12229.35746,1,5.968,1.141
1134.73264,12229.35746,1,5.973,1.147
1134.73264,12229.35746,1,5.974,1.151
1134.73264,12229.35746,1,5.967,1.153
1134.73264,12229.35746,1,5.965,1.155
1134.73264,12229.35746,1,5.966,1.155
1134.73264,12229.35746,1,5.964,1.153
1134.73264,12229.35746,1,5.967,1.152
1134.73264,12229.35746,1,5.971,1.15
1134.73264,12229.35746,1,5.974,1.149
1134.73264,12229.35746,1,5.974,1.15
1134.73264,12229.35746,1,5.971,1.15
1134.73264,12229.35746,1,5.972,1.154
1134.73264,12229.35746,1,5.972,1.16
1134.73264,12229.35746,1,5.968,1.163
1134.73264,12229.35746,1,5.972,1.165
1134.73264,12229.35746,1,5.971,1.166
1134.73264,12229.35746,1,5.971,1.165
1134.73264,12229.35746,1,5.973,1.164
1134.73264,12229.35746,1,5.973,1.164
1134.73264,12229.35746,1,5.969,1.163
1134.73264,12229.35746,1,5.97,1.164
1134.73264,12229.35746,1,5.976,1.164
1134.73264,12229.35746,1,5.972,1.166
1134.73264,12229.35746,1,5.967,1.167
1134.73264,12229.35746,1,5.969,1.167
1134.73264,12229.35746,1,5.972,1.17
1134.73264,12229.35746,1,5.971,1.173
1134.73264,12229.35746,1,5.973,1.176
1134.73264,12229.35746,1,5.969,1.181
1134.73264,12229.35746,1,5.969,1.186
1134.73264,12229.35746,1,5.971,1.19
1134.73264,12229.35746,1,5.969,1.195
1134.73264,12229.35746,1,5.975,1.194
1134.73264,12229.35746,1,5.969,1.193
1134.73264,12229.35746,1,5.972,1.192
1134.73264,12229.35746,1,5.973,1.189
1134.73264,12229.35746,1,5.971,1.19
1134.73264,12229.35746,1,5.967,1.187
1134.73264,12229.35746,1,5.968,1.186
1134.73264,12229.35746,1,5.971,1.184
1134.73264,12229.35746,1,5.971,1.184
1134.73264,12229.35746,1,5.971,1.184
1134.73264,12229.35746,1,5.973,1.184
1134.73264,12229.35746,1,5.972,1.183
1134.73264,12229.35746,1,5.973,1.183
1134.73264,12229.35746,1,5.97,1.181
1134.73264,12229.35746,1,5.963,1.181
1134.73264,12229.35746,1,5.962,1.18
1134.73264,12229.35746,1,5.96,1.177
1134.73264,12229.35746,1,5.961,1.177
1134.73264,12229.35746,1,5.965,1.175
1134.73264,12229.35746,1,5.965,1.175
1134.73264,12229.35746,1,5.965,1.176
1134.73264,12229.35746,1,5.963,1.176
1134.73264,12229.35746,1,5.965,1.179
1134.73264,12229.35746,1,5.962,1.18
1134.73264,12229.35746,1,5.962,1.18
