Latitude,Longitude,Comment,Chl-a [µg/l],Depth [m]
1134.73264,12229.35746,1,3.913,0.492
1134.73264,12229.35746,1,3.699,0.495
1134.73264,12229.35746,1,3.585,0.497
1134.73264,12229.35746,1,3.649,0.506
1134.73264,12229.35746,1,3.849,0.513
1134.73264,12229.35746,1,3.963,0.519
1134.73264,12229.35746,1,3.87,0.526
1134.73264,12229.35746,1,3.977,0.531
1134.73264,12229.35746,1,3.956,0.534
1134.73264,12229.35746,1,3.963,0.538
1134.73264,12229.35746,1,3.792,0.541
1134.73264,12229.35746,1,3.649,0.546
1134.73264,12229.35746,1,3.692,0.552
1134.73264,12229.35746,1,3.621,0.556
1134.73264,12229.35746,1,3.749,0.56
1134.73264,12229.35746,1,3.706,0.562
1134.73264,12229.35746,1,3.649,0.564
1134.73264,12229.35746,1,3.628,0.566
1134.73264,12229.35746,1,3.692,0.568
1134.73264,12229.35746,1,3.706,0.571
1134.73264,12229.35746,1,3.699,0.574
1134.73264,12229.35746,1,4.048,0.575
1134.73264,12229.35746,1,4.013,0.579
1134.73264,12229.35746,1,4.084,0.58
1134.73264,12229.35746,1,4.141,0.581
1134.73264,12229.35746,1,3.913,0.583
1134.73264,12229.35746,1,3.742,0.582
1134.73264,12229.35746,1,3.642,0.585
1134.73264,12229.35746,1,3.557,0.588
1134.73264,12229.35746,1,3.443,0.589
1134.73264,12229.35746,1,3.535,0.594
1134.73264,12229.35746,1,3.557,0.597
1134.73264,12229.35746,1,3.528,0.6
1134.73264,12229.35746,1,3.628,0.603
1134.73264,12229.35746,1,3.706,0.603
1134.73264,12229.35746,1,3.763,0.606
1134.73264,12229.35746,1,4.227,0.608
1134.73264,12229.35746,1,4.205,0.61
1134.73264,12229.35746,1,4.241,0.613
1134.73264,12229.35746,1,4.127,0.614
1134.73264,12229.35746,1,4.198,0.615
1134.73264,12229.35746,1,4.084,0.617
1134.73264,12229.35746,1,3.72,0.62
1134.73264,12229.35746,1,3.599,0.626
1134.73264,12229.35746,1,3.435,0.629
1134.73264,12229.35746,1,3.45,0.632
1134.73264,12229.35746,1,3.535,0.634
1134.73264,12229.35746,1,3.671,0.633
1134.73264,12229.35746,1,3.735,0.633
1134.73264,12229.35746,1,3.728,0.632
1134.73264,12229.35746,1,3.642,0.632
1134.73264,12229.35746,1,3.549,0.635
1134.73264,12229.35746,1,3.485,0.64
1134.73264,12229.35746,1,3.485,0.64
1134.73264,12229.35746,1,3.535,0.646
1134.73264,12229.35746,1,3.671,0.655
1134.73264,12229.35746,1,3.735,0.664
1134.73264,12229.35746,1,3.863,0.674
1134.73264,12229.35746,1,3.956,0.68
1134.73264,12229.35746,1,3.97,0.684
1134.73264,12229.35746,1,4.034,0.686
1134.73264,12229.35746,1,3.984,0.687
1134.73264,12229.35746,1,3.899,0.685
1134.73264,12229.35746,1,3.963,0.685
1134.73264,12229.35746,1,3.956,0.687
1134.73264,12229.35746,1,4.063,0.688
1134.73264,12229.35746,1,4.048,0.691
1134.73264,12229.35746,1,3.899,0.694
1134.73264,12229.35746,1,4.269,0.701
1134.73264,12229.35746,1,4.875,0.705
1134.73264,12229.35746,1,4.647,0.707
1134.73264,12229.35746,1,4.733,0.708
1134.73264,12229.35746,1,4.946,0.709
1134.73264,12229.35746,1,5.06,0.709
1134.73264,12229.35746,1,4.861,0.711
1134.73264,12229.35746,1,4.611,0.712
1134.73264,12229.35746,1,4.497,0.715
1134.73264,12229.35746,1,4.412,0.719
1134.73264,12229.35746,1,4.07,0.723
1134.73264,12229.35746,1,3.963,0.726
1134.73264,12229.35746,1,4.162,0.729
1134.73264,12229.35746,1,4.269,0.73
1134.73264,12229.35746,1,4.426,0.736
1134.73264,12229.35746,1,4.426,0.74
1134.73264,12229.35746,1,4.419,0.743
1134.73264,12229.35746,1,4.212,0.746
1134.73264,12229.35746,1,4.041,0.745
1134.73264,12229.35746,1,3.92,0.746
1134.73264,12229.35746,1,3.799,0.746
1134.73264,12229.35746,1,3.827,0.744
1134.73264,12229.35746,1,3.763,0.744
1134.73264,12229.35746,1,3.549,0.745
1134.73264,12229.35746,1,3.485,0.746
1134.73264,12229.35746,1,3.564,0.751
1134.73264,12229.35746,1,3.778,0.753
1134.73264,12229.35746,1,3.806,0.756
1134.73264,12229.35746,1,3.82,0.759
1134.73264,12229.35746,1,3.656,0.762
1134.73264,12229.35746,1,3.528,0.766
1134.73264,12229.35746,1,3.485,0.771
1134.73264,12229.35746,1,3.642,0.773
1134.73264,12229.35746,1,4.234,0.776
1134.73264,12229.35746,1,4.034,0.777
1134.73264,12229.35746,1,4.034,0.779
1134.73264,12229.35746,1,4.184,0.78
1134.73264,12229.35746,1,4.17,0.78
1134.73264,12229.35746,1,4.048,0.783
1134.73264,12229.35746,1,3.728,0.787
1134.73264,12229.35746,1,3.592,0.792
1134.73264,12229.35746,1,3.621,0.798
1134.73264,12229.35746,1,3.749,0.804
1134.73264,12229.35746,1,3.963,0.812
1134.73264,12229.35746,1,3.963,0.812
1134.73264,12229.35746,1,3.934,0.818
1134.73264,12229.35746,1,4.177,0.821
1134.73264,12229.35746,1,4.055,0.826
1134.73264,12229.35746,1,3.763,0.827
1134.73264,12229.35746,1,3.72,0.828
1134.73264,12229.35746,1,3.87,0.833
1134.73264,12229.35746,1,3.984,0.835
1134.73264,12229.35746,1,3.884,0.836
1134.73264,12229.35746,1,3.706,0.841
1134.73264,12229.35746,1,3.699,0.843
1134.73264,12229.35746,1,3.656,0.844
1134.73264,12229.35746,1,3.685,0.846
1134.73264,12229.35746,1,3.87,0.847
1134.73264,12229.35746,1,4.177,0.849
1134.73264,12229.35746,1,4.205,0.85
1134.73264,12229.35746,1,4.141,0.851
1134.73264,12229.35746,1,4.091,0.854
1134.73264,12229.35746,1,3.856,0.855
1134.73264,12229.35746,1,3.927,0.857
1134.73264,12229.35746,1,4.105,0.859
1134.73264,12229.35746,1,3.884,0.859
1134.73264,12229.35746,1,3.899,0.86
1134.73264,12229.35746,1,4.041,0.861
1134.73264,12229.35746,1,4.319,0.86
1134.73264,12229.35746,1,4.262,0.861
1134.73264,12229.35746,1,4.027,0.861
1134.73264,12229.35746,1,3.849,0.863
1134.73264,12229.35746,1,3.941,0.866
1134.73264,12229.35746,1,4.255,0.869
1134.73264,12229.35746,1,4.433,0.872
1134.73264,12229.35746,1,4.455,0.876
1134.73264,12229.35746,1,4.312,0.878
1134.73264,12229.35746,1,4.597,0.884
1134.73264,12229.35746,1,4.797,0.891
1134.73264,12229.35746,1,4.611,0.898
1134.73264,12229.35746,1,4.462,0.905
1134.73264,12229.35746,1,4.405,0.912
1134.73264,12229.35746,1,4.177,0.918
1134.73264,12229.35746,1,4.048,0.925
1134.73264,12229.35746,1,4.127,0.928
1134.73264,12229.35746,1,4.341,0.934
1134.73264,12229.35746,1,4.59,0.94
1134.73264,12229.35746,1,4.74,0.945
1134.73264,12229.35746,1,4.761,0.95
1134.73264,12229.35746,1,4.697,0.952
1134.73264,12229.35746,1,4.754,0.953
1134.73264,12229.35746,1,5.125,0.953
1134.73264,12229.35746,1,5.103,0.953
1134.73264,12229.35746,1,5.003,0.953
1134.73264,12229.35746,1,5.217,0.953
1134.73264,12229.35746,1,5.132,0.953
1134.73264,12229.35746,1,5.139,0.956
1134.73264,12229.35746,1,5.246,0.959
1134.73264,12229.35746,1,4.889,0.964
1134.73264,12229.35746,1,4.562,0.971
1134.73264,12229.35746,1,4.54,0.975
1134.73264,12229.35746,1,4.918,0.982
1134.73264,12229.35746,1,4.697,0.985
1134.73264,12229.35746,1,4.654,0.985
1134.73264,12229.35746,1,4.654,0.985
1134.73264,12229.35746,1,4.768,0.987
1134.73264,12229.35746,1,4.904,0.984
1134.73264,12229.35746,1,4.59,0.984
1134.73264,12229.35746,1,4.761,0.986
1134.73264,12229.35746,1,4.854,0.989
1134.73264,12229.35746,1,4.797,0.994
1134.73264,12229.35746,1,4.711,0.999
1134.73264,12229.35746,1,4.647,1.005
1134.73264,12229.35746,1,4.961,1.013
1134.73264,12229.35746,1,5.182,1.02
1134.73264,12229.35746,1,5.424,1.028
1134.73264,12229.35746,1,5.117,1.04
1134.73264,12229.35746,1,5.274,1.05
1134.73264,12229.35746,1,5.595,1.058
1134.73264,12229.35746,1,5.481,1.062
1134.73264,12229.35746,1,5.388,1.06
1134.73264,12229.35746,1,5.317,1.06
1134.73264,12229.35746,1,5.303,1.058
1134.73264,12229.35746,1,5.317,1.056
1134.73264,12229.35746,1,5.239,1.056
1134.73264,12229.35746,1,5.018,1.055
1134.73264,12229.35746,1,4.725,1.056
1134.73264,12229.35746,1,4.875,1.058
1134.73264,12229.35746,1,5.338,1.058
1134.73264,12229.35746,1,5.702,1.059
1134.73264,12229.35746,1,5.645,1.062
1134.73264,12229.35746,1,5.78,1.064
1134.73264,12229.35746,1,5.588,1.064
1134.73264,12229.35746,1,5.509,1.065
1134.73264,12229.35746,1,5.203,1.067
1134.73264,12229.35746,1,5.36,1.068
1134.73264,12229.35746,1,5.274,1.069
1134.73264,12229.35746,1,5.424,1.072
1134.73264,12229.35746,1,5.217,1.074
1134.73264,12229.35746,1,5.296,1.074
1134.73264,12229.35746,1,5.381,1.075
1134.73264,12229.35746,1,5.688,1.076
1134.73264,12229.35746,1,6.728,1.077
1134.73264,12229.35746,1,6.522,1.076
1134.73264,12229.35746,1,6.229,1.078
1134.73264,12229.35746,1,6.094,1.081
1134.73264,12229.35746,1,6.315,1.084
1134.73264,12229.35746,1,5.766,1.086
1134.73264,12229.35746,1,5.709,1.09
1134.73264,12229.35746,1,6.336,1.09
1134.73264,12229.35746,1,6.685,1.092
1134.73264,12229.35746,1,6.6,1.092
1134.73264,12229.35746,1,6.771,1.095
1134.73264,12229.35746,1,6.322,1.099
1134.73264,12229.35746,1,6.101,1.104
1134.73264,12229.35746,1,5.844,1.109
