Latitude,Longitude,Comment,Sal.,Depth [m]
1134.73264,12229.35746,1,24.824,0.302
1134.73264,12229.35746,1,24.828,0.304
1134.73264,12229.35746,1,24.831,0.306
1134.73264,12229.35746,1,24.837,0.307
1134.73264,12229.35746,1,24.838,0.31
1134.73264,12229.35746,1,24.841,0.311
1134.73264,12229.35746,1,24.842,0.311
1134.73264,12229.35746,1,24.841,0.314
1134.73264,12229.35746,1,24.841,0.314
1134.73264,12229.35746,1,24.848,0.316
1134.73264,12229.35746,1,24.847,0.319
1134.73264,12229.35746,1,24.847,0.32
1134.73264,12229.35746,1,24.852,0.324
1134.73264,12229.35746,1,24.854,0.327
1134.73264,12229.35746,1,24.857,0.328
1134.73264,12229.35746,1,24.861,0.331
1134.73264,12229.35746,1,24.859,0.333
1134.73264,12229.35746,1,24.855,0.334
1134.73264,12229.35746,1,24.855,0.336
1134.73264,12229.35746,1,24.86,0.336
1134.73264,12229.35746,1,24.868,0.338
1134.73264,12229.35746,1,24.867,0.337
1134.73264,12229.35746,1,24.877,0.338
1134.73264,12229.35746,1,24.885,0.339
1134.73264,12229.35746,1,24.883,0.337
1134.73264,12229.35746,1,24.888,0.338
1134.73264,12229.35746,1,24.895,0.337
1134.73264,12229.35746,1,24.893,0.336
1134.73264,12229.35746,1,24.901,0.336
1134.73264,12229.35746,1,24.896,0.335
1134.73264,12229.35746,1,24.894,0.336
1134.73264,12229.35746,1,24.891,0.338
1134.73264,12229.35746,1,24.889,0.339
1134.73264,12229.35746,1,24.893,0.341
1134.73264,12229.35746,1,24.894,0.344
1134.73264,12229.35746,1,24.9,0.344
1134.73264,12229.35746,1,24.903,0.346
1134.73264,12229.35746,1,24.908,0.346
1134.73264,12229.35746,1,24.914,0.348
1134.73264,12229.35746,1,24.92,0.349
1134.73264,12229.35746,1,24.919,0.349
1134.73264,12229.35746,1,24.916,0.351
1134.73264,12229.35746,1,24.921,0.352
1134.73264,12229.35746,1,24.925,0.352
1134.73264,12229.35746,1,24.922,0.355
1134.73264,12229.35746,1,24.919,0.357
1134.73264,12229.35746,1,24.916,0.359
1134.73264,12229.35746,1,24.916,0.359
1134.73264,12229.35746,1,24.914,0.362
1134.73264,12229.35746,1,24.914,0.363
1134.73264,12229.35746,1,24.915,0.366
